word,tfidf
display,0.5664573498298504
click,0.3298709418470279
symbol,0.27415973539181787
select,0.226126869850708
page,0.19378804073126465
asset,0.1629443620983043
vision,0.14964278151885088
right,0.13788764436647677
well,0.1359557952505842
pane,0.12855264645509176
trend,0.1280277130772391
event,0.10966389415672714
oil,0.10187190851158216
value,0.10003443595712959
add,0.0914483664837422
button,0.08974430035544141
attribute,0.08944063418366059
save,0.08857468374197192
use,0.0861502068914593
create,0.08313487862158382
folder,0.07803007853459432
table,0.07763866671299609
north,0.07519117056807255
drag,0.07519117056807255
menu,0.0727656489368444
production,0.06983329804213041
configuration,0.06959439436869223
time,0.06865094611663163
option,0.06708047563774545
name,0.06484520532483538
open,0.06318250775240371
icon,0.06306356241193181
show,0.06270815388357377
calculation,0.061519810179972025
aveva,0.060638040780703666
hoc,0.060638040780703666
change,0.05673594875180484
top,0.05590039636478787
configure,0.05336147588701923
item,0.052723026036888054
search,0.05225679490297814
detail,0.051543624745381975
toolbar,0.05093595425579108
datum,0.048459491376445854
set,0.04777764105415144
switch,0.04639626291246148
mode,0.04628458977120921
format,0.04489283445565527
graphic,0.04428734187098596
bar,0.04428734187098596
gauge,0.043659389362106636
user,0.04323013688322359
like,0.04323013688322359
challenge,0.042856970546337365
text,0.042856970546337365
team,0.04217842082951044
context,0.04180543592238251
design,0.039904741738360235
label,0.03913027745535151
link,0.03824204416592856
rate,0.03824204416592856
downtime,0.0379605787465594
see,0.037326282073555817
would,0.03726693090985858
want,0.03726693090985858
home,0.035851657705083875
area,0.03583323079061358
new,0.03434017950767135
dropdown,0.03395730283719405
dashboard,0.03395730283719405
edit,0.03395730283719405
onto,0.03395730283719405
one,0.03284712822472912
next,0.0316768912733798
plot,0.0316768912733798
criterion,0.03163381562213283
copy,0.03163381562213283
look,0.03163381562213283
find,0.031591253876201854
pencil,0.031531781205965906
note,0.031354076941786886
section,0.031354076941786886
column,0.029928556303770178
overview,0.029861025658844652
make,0.029861025658844652
view,0.029813544727886866
color,0.029524894580657306
trace,0.02910625957473776
within,0.02836797437590242
collection,0.02836797437590242
multi,0.026874923092960183
style,0.026680737943509614
element,0.02557584267090198
also,0.025381871810017952
exist,0.025381871810017952
left,0.025307052497706265
start,0.024940463586475146
cursor,0.024255216312281468
optional,0.024255216312281468
ctrl,0.024255216312281468
need,0.024229745688222927
access,0.024229745688222927
range,0.02388882052707572
state,0.02388882052707572
modify,0.02327776601404347
drop,0.02327776601404347
back,0.02327776601404347
list,0.02327776601404347
delete,0.02319813145623074
identity,0.02319813145623074
data,0.022883648705543876
scale,0.02239576924413349
type,0.02239576924413349
update,0.02239576924413349
monitor,0.022360158545915148
return,0.022360158545915148
order,0.022360158545915148
chart,0.022360158545915148
visibility,0.021829694681053318
bottom,0.021829694681053318
